POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
221,(B),41,30.2576,41.7179,43.4987,704,38
222,(B),40,30.4549,41.6567,43.4636,1720,56
223,(B),41,31.0568,41.6891,43.5061,576,35
224,(B),33,32.5762,41.7014,43.5882,39784,170
225,(B),41,31.1689,41.7548,43.5232,672,39
226,(B),40,30.5878,41.721,43.5622,1584,55
227,(B),41,30.3151,41.8147,43.6147,664,40
228,(B),38,30.6733,41.8046,43.6614,6520,79
229,(B),41,29.6366,41.8348,43.7313,688,41
230,(B),40,30.4544,41.7426,43.6816,1752,62
231,(B),41,30.8182,41.7942,43.7102,672,36
232,(B),35,31.7347,41.7766,43.6497,20416,132
233,(B),41,30.6848,41.8011,43.7073,696,42
234,(B),40,30.2109,41.755,43.6674,2200,65
235,(B),41,30.1178,41.71,43.6615,704,38
236,(B),38,30.583,41.7644,43.6749,6472,82
237,(B),41,30.1748,41.782,43.6233,560,38
238,(B),40,30.2831,41.7652,43.5369,2408,62
239,(B),41,30.2641,41.6868,43.5764,688,36
240,(B),33,32.4273,41.713,43.66,36640,164
241,(B),41,31.0503,41.7649,43.6854,544,37
242,(B),40,30.4235,41.725,43.6519,1968,62
243,(B),41,30.1942,41.7663,43.6714,488,42
244,(B),38,30.697,41.7537,43.6457,6912,81
245,(B),41,30.1077,41.8158,43.7303,568,38
246,(B),40,30.0735,41.8137,43.7423,1848,60
247,(B),41,30.8144,41.8587,43.8567,648,36
248,(B),35,31.798,41.8696,43.7928,19672,131
249,(B),41,30.7573,41.896,43.8045,560,37
250,(B),40,30.3443,41.828,43.7385,1712,59
251,(B),41,30.2369,41.8498,43.6539,688,38
252,(B),38,30.4868,41.8583,43.6438,6464,80
253,(B),41,30.1707,41.8265,43.5962,656,38
254,(B),40,30.4424,41.7975,43.6419,1904,59
255,(B),41,31.1104,41.8294,43.5495,608,34
256,(B),33,32.5326,41.8253,43.5312,36448,160
257,(B),41,31.1422,41.8635,43.611,616,35
258,(B),40,30.5178,41.7953,43.5533,1880,60
259,(B),41,30.1607,41.8419,43.6132,600,44
260,(B),38,30.5547,41.8166,43.5417,6608,79
261,(B),41,30.1629,41.8259,43.5799,608,41
262,(B),40,30.3593,41.7822,43.5919,2096,60
263,(B),41,30.4672,41.8596,43.55,480,36
264,(B),35,31.7594,41.819,43.5953,20200,129
