POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
0,I,29,37.1803,39.545,40.234,30904,38
1,B,41,33.4569,39.874,40.5459,464,9
2,B,40,33.5304,40.032,40.5582,616,14
3,B,41,33.5833,40.0669,40.6006,320,9
4,B,38,33.8261,39.9834,40.4808,744,15
5,B,41,33.1448,40.0498,40.5915,352,11
6,B,40,33.0333,40.0619,40.6488,528,13
7,B,41,32.7711,40.1187,40.6729,320,10
8,B,35,34.3208,40.0013,40.6164,2440,22
9,B,41,32.5367,40.0603,40.578,400,10
10,B,40,33.3244,39.9724,40.5543,304,11
11,B,41,33.3447,40.1366,40.5724,256,8
12,B,38,33.5326,40.0067,40.5117,672,15
13,B,41,32.8642,40.042,40.4078,248,9
14,B,40,33.4468,40.0208,40.3043,536,12
15,B,41,33.8877,40.1515,40.4351,320,9
16,B,33,35.2623,39.9927,40.1638,4448,26
17,B,41,33.6658,40.1767,40.2601,200,9
18,B,40,33.0275,40.3259,40.3266,328,12
19,B,41,32.6056,40.4375,40.2729,360,10
20,B,38,33.0465,40.2279,40.0293,1000,15
21,B,41,32.9155,40.3308,40.1428,360,10
22,B,40,32.7454,40.3821,40.1236,536,14
23,B,41,32.7472,40.306,40.0564,200,8
24,B,35,34.2184,40.3382,40.0699,2312,26
25,B,41,33.5586,40.3541,40.1346,264,10
26,B,40,33.0819,40.4768,40.2704,408,14
27,B,41,32.8082,40.3039,40.3552,448,12
28,B,38,33.0303,40.3003,40.276,1200,18
29,B,41,32.4414,40.4226,40.4545,328,10
30,B,40,33.2046,40.3963,40.398,552,13
31,B,41,33.3043,40.3298,40.4053,328,9
32,B,33,34.5392,40.3933,40.2484,5976,29
33,B,41,33.7862,40.4778,40.3784,200,8
34,B,40,33.1923,40.4832,40.3438,448,12
35,B,41,33.53,40.4855,40.4287,280,9
36,B,38,33.3893,40.4537,40.3211,640,15
37,B,41,33.225,40.4087,40.3101,200,8
38,B,40,33.375,40.461,40.3546,288,11
39,B,41,33.6243,40.4598,40.4206,280,8
40,B,35,34.0253,40.4764,40.3583,1768,20
41,B,41,33.4848,40.5314,40.3393,232,9
42,B,40,33.5603,40.5608,40.4071,280,10
43,B,41,33.4723,40.5265,40.408,272,8
44,B,38,33.9085,40.4105,40.2778,352,11
45,B,41,33.8793,40.571,40.3251,216,8
46,B,40,33.6642,40.3924,40.2682,216,10
47,B,41,33.7706,40.3966,40.3911,248,8
48,B,33,34.5569,40.2073,40.1601,4624,25
49,B,41,34.2543,40.3369,40.1798,192,9
50,B,40,33.8892,40.364,40.2874,312,10
